name,address,latitude,longitude
蒲郡競艇場前店,愛知県蒲郡市拾石町塩浜8,34.82243,137.202255
伊丹昆陽店,兵庫県伊丹市昆陽東6-3-26,34.776447,135.402237
しんしろ店,愛知県新城市片山字西野畑543-3,34.905613,137.494461
藤沢湘南台店,神奈川県藤沢市石川1761-5,35.392807,139.443832
蟹江本町店,愛知県海部郡蟹江町蟹江本町コの割34,35.139008,136.798172
長浜八幡中山店,滋賀県長浜市八幡中山町508,35.392895,136.275269
東近江八日市店,滋賀県東近江市青葉町3-1-5,35.10775,136.200378
一宮神山店,愛知県一宮市神山町1-14-26,35.303108,136.792282
可児広見店,岐阜県可児市広見5-2-1,35.425713,137.06395
北九州桃園公園店,福岡県北九州市八幡東区桃園1-4-36,33.865032,130.784531
下関綾羅木店,山口県下関市綾羅木新町4-3-15,34.008095,130.924805
新浦安店,千葉県浦安市入船1-5-1,35.648975,139.913177
松戸駅西口店,千葉県松戸市松戸1286-1,35.783329,139.898788
ヨシヅヤ津島北テラス店,愛知県津島市片岡町60,35.183228,136.726746
半田亀崎店,愛知県半田市新居町3-84-1,34.908234,136.956863
船橋芝山店,千葉県船橋市芝山4-17-4,35.721657,140.021164
千葉旭店,千葉県旭市ニ517-3,35.72485,140.652878
八王子駅北口店,東京都八王子市東町10-3,35.65844,139.338501
大分中津店,大分県中津市金谷森ノ丁2229-1,33.581989,131.203018
萱津橋店,愛知県あま市坂牧大塚86,35.183994,136.831512
倉敷北店,岡山県倉敷市川入839-28,34.608498,133.759384
