name,address,latitude,longitude
中割店,愛知県名古屋市南区中割町3-120-1,35.087299,136.919052
松阪中央店,三重県松阪市中央町514-1,34.583153,136.542526
海老名かしわ台店,神奈川県海老名市柏ヶ谷555-1,35.46384,139.41333
江南西店,愛知県江南市東野町米野85,35.336437,136.859375
イオン新潟青山店,新潟県新潟市西区青山2-5-1,37.896366,139.006012
桑名広見ケ丘店,三重県桑名市広見ケ丘1537-8,35.062222,136.683884
城北店,愛知県名古屋市北区八代町2-10-2,35.201881,136.910645
イオンモール新潟南店,新潟県新潟市江南区下早通柳田1-1-1,37.875652,139.083664
国分寺店,東京都国分寺市並木町1-19-3,35.716621,139.457596
守山口店,愛知県名古屋市守山区市場14-16,35.195389,136.950851
岩倉八剱店,愛知県岩倉市八剱町下り松36,35.293175,136.879593
りんくう羽倉崎店,大阪府泉佐野市羽倉崎1-2-12,34.400616,135.298569
浜松駅北店,静岡県浜松市中央区中央1-5-4,34.713226,137.735474
福岡香椎浜店,福岡県福岡市東区香椎浜3-3-11,33.657818,130.429062
野洲店,滋賀県野洲市小篠原2683,35.067711,136.035324
我孫子天王台店,千葉県我孫子市天王台6-17-8,35.866695,140.041565
館林店,群馬県館林市富士見町4-52,36.245026,139.524948
知立堀切店,愛知県知立市鳥居1-13-9,35.002899,137.035004
岡崎大西店,愛知県岡崎市大西2-1-6,34.942905,137.185043
唐木田店,東京都多摩市鶴牧2-24-1,35.616741,139.412979
カインズ伊勢崎店,群馬県伊勢崎市宮子町3154,36.334038,139.159927
守山城下店,愛知県名古屋市守山区小六町21-12,35.194462,136.970184
半田宮本店,愛知県半田市宮本町5-303-12,34.887733,136.907578
草加店,埼玉県草加市弁天4-12-25,35.842518,139.819504
府中白糸台店,東京都府中市白糸台3-5-3,35.665546,139.514771
ユニモール店,愛知県名古屋市中村区名駅4-5-26,35.171429,136.88623
郡上八幡店,岐阜県郡上市八幡町島谷1436-2,35.74704,136.949036
静岡沓谷店,静岡県静岡市葵区沓谷6-18-1,34.996452,138.412628
貴船店,愛知県名古屋市名東区貴船2-703,35.167419,137.014862
北九州上津役店,福岡県北九州市八幡西区下上津役4-11-10,33.827389,130.746902
神戸ハーバーランド店,兵庫県神戸市中央区東川崎町1-3-3,34.677273,135.179138
敦賀店,福井県敦賀市呉竹町2-5-15,35.646152,136.057404
刈谷店,愛知県刈谷市井ヶ谷町天白19-4,35.06419,137.050156
宇部南浜町店,山口県宇部市南浜町2-7-21,33.965427,131.233139
栄四丁目店,愛知県名古屋市中区栄4-16-10,35.166653,136.910553
東海荒尾店,愛知県東海市荒尾町祢崎106,35.029251,136.914062
多治見錦町店,岐阜県多治見市錦町2-24,35.329601,137.127182
大阪土佐堀店,大阪府大阪市西区土佐堀2-2-4,34.688847,135.491089
刈谷駅南口店,愛知県刈谷市南桜町1-65,34.989872,137.005981
半田やなべ店,愛知県半田市岩滑高山町6-22-12,34.90892,136.914261
ミスターマックスおゆみ野店,千葉県千葉市緑区おゆみ野中央2-3-1,35.555107,140.160767
西心斎橋店,大阪府大阪市中央区西心斎橋1-5-27,34.672707,135.499924
浦和松木店,埼玉県さいたま市緑区松木2-7-3,35.88382,139.687607
鵜方店,三重県志摩市阿児町鵜方3016-33,34.328419,136.834625
福岡宗像店,福岡県宗像市稲元4-22-1,33.809101,130.559128
横浜元町店,神奈川県横浜市中区元町3-119,35.440453,139.648056
知多寺本店,愛知県知多市八幡東水代31-6,34.998032,136.874512
長久手図書館通店,愛知県長久手市西浦812,35.17712,137.037323
保谷店,東京都西東京市富士町3-1-19,35.732014,139.563705
稲葉地店,愛知県名古屋市中村区稲葉地本通2-27-1,35.168308,136.842438
半田瑞穂店,愛知県半田市瑞穂町7-11-2,34.884636,136.941101
碧南店,愛知県碧南市霞浦町2-37,34.882637,137.002701
新潟新和店,新潟県新潟市中央区新和1-5-34,37.902039,139.039429
美濃加茂店,岐阜県美濃加茂市山手町1-146,35.449947,137.017441
恵那長島店,岐阜県恵那市長島町正家2-6-7,35.448727,137.415909
守山瀬古店,愛知県名古屋市守山区瀬古東3-1206,35.21212,136.943573
長泉町桜堤店,静岡県駿東郡長泉町上土狩68-27,35.140827,138.904449
岩出店,和歌山県岩出市中迫558-1,34.265202,135.314972
