name,address,latitude,longitude
マリンピア稲毛海岸店,千葉県千葉市美浜区高洲3-13-1,35.628323,140.073074
原尾島店,岡山県岡山市中区東川原239-1,34.674454,133.943619
浅草EKIMISE店,東京都台東区花川戸1-4-1,35.71122,139.797836
新宿モノリスビル店,東京都新宿区西新宿2-3-1,35.688267,139.694778
奈良三条店,奈良県奈良市三条町499-1,34.681595,135.821198
サニーサイドモール小倉店,福岡県北九州市小倉南区下曽根新町10-1,33.832268,130.932846
サンシティ三宮店,兵庫県神戸市中央区雲井通6-1-15,34.695,135.196228
マルイファミリー志木店,埼玉県志木市本町5-26-1,35.823555,139.574921
アピタ宇都宮店,栃木県宇都宮市江曽島本町22-7,36.532841,139.86731
中央林間店,神奈川県大和市中央林間3-2-10,35.507694,139.443741
荻窪タウンセブン店,東京都杉並区上荻1-9-1,35.705223,139.619812
イオンモール日の出SC店,東京都西多摩郡日の出町平井237-3,35.734825,139.275146
大阪梅田茶屋町店,大阪府大阪市北区茶屋町1-27,34.704899,135.499268
イオンモール四條畷店,大阪府四條畷市砂4-3-2,34.744938,135.631226
イオンマリナタウン店,福岡県福岡市西区豊浜3-1-10,33.58942,130.333771
目黒東口店,東京都品川区上大崎2-13-38,35.634026,139.7173
恵比寿駅前店,東京都渋谷区恵比寿西1-8-8,35.647255,139.708649
フジグラン広島店,広島県広島市中区宝町2-1,34.386375,132.465012
武蔵小山店,東京都品川区小山3-25-1,35.619713,139.704163
ららぽーと堺店,大阪府堺市美原区黒山22-1,34.542019,135.55838
熊本上通店,熊本県熊本市中央区上通町9-1,32.805473,130.711334
エル守口店,大阪府大阪市中央区難波1-5-14,34.667622,135.501373
イオンモール大高店,愛知県名古屋市緑区大高町字奥平子1-1,35.053337,136.95018
ララガーデン長町店,宮城県仙台市太白区長町7-20-5,38.225822,140.876862
ららぽーと愛知東郷店,愛知県愛知郡東郷町東郷中央土地区画整理事業62街区1・3,35.096897,137.052643
岡山一番街店,岡山県岡山市北区駅元町一番街地下6,34.665607,133.918015
イオンタウン富士南店,静岡県富士市鮫島118-10,35.139099,138.677155
南海天王寺店,大阪府大阪市天王寺区悲田院町10-48,34.647835,135.513748
イオンモール高岡店,富山県高岡市下伏間江383,36.723873,137.016861
大阪OMMビル店,大阪府大阪市中央区大手前1-7-31,34.689873,135.517899
