name,address,latitude,longitude
広島紙屋町店,広島県広島市中区大手町1-5-2,34.394505,132.456009
MEGAドン・キホーテ姫路広畑店,兵庫県姫路市広畑区夢前町1-1,34.796844,134.637177
ベルテラスいこま店,奈良県生駒市北新町2043,34.694721,135.691833
イオンモール幕張新都心店,千葉県千葉市美浜区豊砂1-13他,35.65609,140.02652
ららぽーと柏の葉店,千葉県柏市若柴175,35.893353,139.951187
イオンモール堺北花田店,大阪府堺市北区東浅香山町4-1-12,34.584618,135.513718
デュオこうべ店,兵庫県神戸市中央区東川崎町1-2-3,34.678898,135.179108
寝屋川市駅店,大阪府寝屋川市早子町16-10,34.763706,135.620667
イオンモール長久手店,愛知県長久手市長久手中央土地区画整理事業地内,35.167709,137.038513
イオンモール堺鉄砲町店,大阪府堺市堺区鉄砲町1,34.594856,135.481125
仙台クリスロード店,宮城県仙台市青葉区中央2-5-8,38.261368,140.876404
イーアスつくばSC店,茨城県つくば市研究学園5-19,36.088585,140.084579
港北東急SC店,神奈川県横浜市都筑区茅ヶ崎中央5-1,35.544209,139.572586
イオンモール多摩平の森店,東京都日野市多摩平2-4,35.662437,139.38092
イーアス高尾店,東京都八王子市東浅川町550-1,35.643543,139.289185
ゆめタウン博多店,福岡県福岡市東区東浜1-1-1,33.61153,130.412064
大阪安土町店,大阪府大阪市中央区備後町3-2-15,34.684933,135.503525
池袋メトロポリタン口店,東京都豊島区西池袋1-3-6,35.728294,139.709244
東武みずほ台店,埼玉県富士見市東みずほ台2-29-4,35.838673,139.549988
吉備SA（下り）店,岡山県岡山市北区今岡476,34.690125,133.870392
大阪府枚方市役所前店,大阪府枚方市岡東町8-6,34.81551,135.650208
沖縄パルコシティ店,沖縄県浦添市西洲3-1-1,26.260212,127.695946
イオンモール木曽川店,愛知県一宮市木曽川町黒田字南ハツケ池25-1,35.338959,136.795654
青森サンロード店,青森県青森市緑3-9-2,40.806904,140.753311
ららぽーと磐田店,静岡県磐田市高見丘1200,34.750164,137.842026
新宿新南口店,東京都新宿区新宿4-1-1,35.687981,139.702744
プロメナ神戸店,兵庫県神戸市中央区東川崎町1-8-1,34.680454,135.181808
名古屋名鉄メンズ館店,愛知県名古屋市中村区名駅1-2-4,35.168564,136.88475
イオンモール各務原店,岐阜県各務原市那加萱場町3-8,35.392418,136.823975
イオンモール福岡店,福岡県糟屋郡粕屋町大字酒殿字老ノ木192-1,33.596455,130.480286
渋谷道玄坂店,東京都渋谷区道玄坂2-29-8,35.659164,139.6978
戸塚店,神奈川県横浜市戸塚区上倉田町493-1,35.399853,139.535812
ららぽーと豊洲店,東京都江東区豊洲2-4-9,35.6563,139.792923
オペラパーク住道店,大阪府大東市赤井1-4-1,34.70892,135.619995
西鉄イン新宿店,東京都新宿区西新宿7-23-2,35.694111,139.694229
イオンモール越谷レイクタウンMORI店,埼玉県越谷市レイクタウン3-1-1,35.882484,139.828323
なんばウォーク店,大阪府大阪市中央区難波1,34.667603,135.501724
経堂店,東京都世田谷区宮坂2-19-5,35.651161,139.637711
イオンモール浜松市野店,静岡県浜松市中央区天王寺町字諏訪1981-3,34.737686,137.771011
イズミヤカナートモール和泉府中店,大阪府泉大津市東豊中町1-5-10,34.491951,135.423172
水道橋東口店,東京都千代田区三崎町2-9-2,35.700848,139.755112
ミウイ橋本店,神奈川県相模原市緑区橋本3-28-1,35.594326,139.346558
マークイズ静岡店,静岡県静岡市葵区柚木1026,34.982403,138.408173
ゆめタウン三豊店,香川県三豊市豊中町本山甲22,34.145252,133.699081
ゆめタウン丸亀店,香川県丸亀市新田町橋本171-2,34.269348,133.788101
姫路フェスタ店,兵庫県姫路市駅前町363-1,34.827621,134.690842
イオンモール津山店,岡山県津山市河辺1000-1,35.05909,134.051727
イオンモール今治新都市店,愛媛県今治市にぎわい広場1-1,34.044254,132.962463
イオンモール神戸北店,兵庫県神戸市北区上津台8-1-1,34.860859,135.196518
ノースポートモール店,神奈川県横浜市都筑区中川中央1-25-1,35.553181,139.579468
千駄木店,東京都文京区千駄木2-32-6,35.724621,139.762894
ゆめタウン徳島店,徳島県板野郡藍住町奥野字東中須88-1,34.119118,134.500977
ニトリモール枚方店,大阪府枚方市北山1-2-1,34.83696,135.694595
イオンモール高崎店,群馬県高崎市棟高町1400,36.390381,139.006577
ニッケパークタウン加古川店,兵庫県加古川市加古川町寺家町173-1,34.769508,134.835693
小田急マルシェ大和店,神奈川県大和市中央1-1-26,35.469303,139.4608
イオンモール日吉津店,鳥取県西伯郡日吉津村大字日吉津1319-1,35.445889,133.384415
MOMOテラス店,京都府京都市伏見区桃山町山ノ下32,34.937057,135.7948
阪急かっぱ横丁店,大阪府大阪市北区芝田1-7-2,34.707165,135.498108
田無店,東京都西東京市田無町4-28-14,35.72892,139.539688
プレナ幕張店,千葉県千葉市美浜区ひび野2-4,35.647892,140.040405
三鷹駅南口店,東京都三鷹市下連雀3-36,35.701664,139.56012
イオンモール京都五条店,京都府京都市右京区西院追分町25-1,34.997326,135.727249
恵比寿東口店,東京都渋谷区恵比寿1-8-1,35.648045,139.710114
銀座みゆき通り店,東京都中央区銀座6-12-1,35.669495,139.765091
福岡天神地下街店,福岡県福岡市中央区天神2-1004,33.58939,130.398041
イオンモール銚子店,千葉県銚子市三崎町2-2660-1,35.709991,140.787796
イトーヨーカドー武蔵小金井店,東京都小金井市本町6-14-9,35.700085,139.505447
東京上十条店,東京都北区上十条2-30-6,35.761314,139.721405
三軒茶屋店,東京都世田谷区太子堂4-23-2,35.643684,139.670715
エアポートウォーク名古屋店,愛知県西春日井郡豊山町豊場林先1-8,35.248695,136.923584
スフィアタワー天王洲店,東京都品川区東品川2-2-8,35.623135,139.749969
アピタ岩倉店,愛知県岩倉市旭町1-25,35.276749,136.872086
岡山空港店,岡山県岡山市北区日応寺1277,34.760391,133.860855
綾瀬リエッタ店,東京都足立区綾瀬3-1-12,35.762379,139.825729
高松丸亀町店,香川県高松市丸亀町2-3,34.345177,134.050171
奈良東向商店街店,奈良県奈良市東向中町23,34.683777,135.828506
松山湊町店,愛媛県松山市湊町4-6-6,33.835808,132.766281
新宿アイランド店,東京都新宿区西新宿6-5-1,35.692986,139.693329
富山駅店,富山県富山市明輪町1-70,36.701954,137.213074
イオンモール和歌山店,和歌山県和歌山市中字楠谷573,34.271103,135.148483
