name,address,latitude,longitude
上野マルイ店,東京都台東区上野6-15-1,35.710232,139.775787
日比谷シティ店,東京都千代田区内幸町2-2-3,35.670513,139.754822
松山中央店,愛媛県松山市中央1-4-12,33.854042,132.753281
カインズホーム青梅店,東京都青梅市新町6-9-4,35.79269,139.315094
Part2店,宮城県仙台市太白区長町7-20-3,38.225822,140.876862
取手ボックスヒル店,茨城県取手市中央町2-5,35.89484,140.06218
イオンモール京都五条店,京都府京都市右京区西院追分町25-1-043,34.997326,135.727249
ちゃやまちアプローズタワー店,大阪府大阪市北区茶屋町19-19,34.708309,135.497833
西友楽市守谷店,茨城県守谷市けやき台4-1-5,35.936146,139.9944
北館店,千葉県船橋市浜町2-1-1,35.686241,139.990204
神戸西舞子店,兵庫県神戸市垂水区西舞子1-10-4,34.639915,135.025269
名鉄百貨店名古屋店,愛知県名古屋市中村区名駅1-2-1,35.169827,136.884384
なんばウォーク店,大阪府大阪市中央区千日前1,34.667622,135.504395
熊本大江店,熊本県熊本市中央区大江3-2-33,32.804131,130.72612
香林坊東急スクエア店,石川県金沢市香林坊2-1-1,36.562077,136.653381
仙台クリスロード店,宮城県仙台市青葉区中央2-5-3,38.261482,140.876999
岡崎竜美店,愛知県岡崎市竜美西2-9-13,34.939133,137.166901
札幌グランドホテル店,北海道札幌市中央区北一条西4,43.062206,141.350815
チェリープラザ店,愛知県名古屋市中区栄3-19-8,35.16576,136.90451
御堂筋グランドビル店,大阪府大阪市中央区難波2-2-3,34.667587,135.500092
みらい長崎ココウォーク店,長崎県長崎市茂里町1-55,32.762981,129.864777
宮崎青葉町店,宮崎県宮崎市青葉町121-6,31.919819,131.436142
沖縄津嘉山店,沖縄県島尻郡南風原町津嘉山1321-1,26.193764,127.71312
学芸大駅前店,東京都目黒区鷹番3-15-25,35.629292,139.684265
イオンモール札幌苗穂店,北海道札幌市東区東苗穂2条3-1-1,43.079685,141.403885
三木サービスエリア（上り線）店,兵庫県三木市大村大門1067-110,34.802406,134.969208
高知潮江店,高知県高知市潮新町2-13-28,33.548752,133.550735
ザザシティ浜松店,静岡県浜松市中央区鍛冶町15,34.703552,137.732422
千葉ニュータウン店,千葉県印西市泉野3-1186-5,35.805866,140.129105
イオンモール新居浜店,愛媛県新居浜市前田町8-8,33.954357,133.270233
LAQUE四条烏丸店,京都府京都市下京区四条通室町東入函谷鉾町101,,
高島屋ステーションモール店,千葉県柏市末広町1-1,35.862377,139.970825
あざみ野みすずが丘店,神奈川県横浜市青葉区あざみ野南4-5-7,35.560482,139.541855
筑波大学附属病院店,茨城県つくば市天久保2-1-18,36.093224,140.10202
長崎空港店,長崎県大村市箕島町593,32.91518,129.914444
イースト2階店,北海道札幌市中央区北5条西2-5,43.068001,141.351227
松山はなみずき通り店,愛媛県松山市古川北3-7-28,33.810444,132.765457
ベイシア西部モール店,群馬県伊勢崎市宮子町3430-6,36.331673,139.158813
イオンモール川口前川店,埼玉県川口市前川1-1-11,35.833347,139.706055
山形県立中央病院店,山形県山形市青柳1800,38.300449,140.346176
大手町東京サンケイビル店,東京都千代田区大手町1-7-2,35.687069,139.765045
イオン若松店,福岡県北九州市若松区二島1-3-1,33.891369,130.74173
立川伊勢丹店,東京都立川市曙町2-5-1,35.699078,139.413345
北谷国道58号店,沖縄県中頭郡北谷町美浜1-5-11,26.313107,127.761292
イオン秦野店,神奈川県秦野市入船町12-1,35.377827,139.228149
多賀サービスエリア（上り線）店,滋賀県犬上郡多賀町敏満寺62-2,35.219063,136.282852
新大阪駅新幹線ラチ内店,大阪府大阪市淀川区西中島5-16-1,34.733185,135.500671
西武新宿PePe店,東京都新宿区歌舞伎町1-30-1,35.695972,139.699722
高松レインボーロード店,香川県高松市伏石町2084-5,34.311234,134.060135
茨木真砂店,大阪府茨木市真砂玉島台1-5,34.799839,135.582687
ゆめタウン徳島店,徳島県板野郡藍住町奥野東中須88-1,34.119118,134.500977
金沢フォーラス6Fクーゴ店,石川県金沢市堀川新町3-1,36.57856,136.649506
なんばCITY店,大阪府大阪市中央区難波5-1-60,34.664921,135.501114
アルビ住道店,大阪府大東市住道2-3-1,34.70628,135.621765
横浜スカイビル店,神奈川県横浜市西区高島2-19-12,35.464603,139.625
CIAL桜木町店,神奈川県横浜市中区桜木町1-1,35.453564,139.629242
