name,address,latitude,longitude
久我山店,東京都杉並区久我山5-7-18,35.688103,139.59996
赤坂5丁目店,東京都港区赤坂5-4-12,35.671631,139.735382
駒込東口店,東京都北区中里1-6-1,35.736881,139.749512
イオンモール扶桑店,愛知県丹羽郡扶桑町南山名字高塚5-1,35.362358,136.89801
東中野店,東京都中野区東中野3-8-2,35.706806,139.682678
京都市立病院店,京都府京都市中京区壬生東高田町1-2,34.997562,135.73465
大倉山店,神奈川県横浜市港北区大倉山3-1-25,35.521782,139.629395
浅草ROX店,東京都台東区浅草1-25-15,35.71294,139.793137
西葛西南口店,東京都江戸川区西葛西6-16-4,35.663963,139.859619
ドトールコーヒーショップ二本松店,福島県二本松市油井字福岡133-1,37.614147,140.462433
イオンモール名取店,宮城県名取市杜せきのした5-3-1,38.163731,140.895782
千葉銀座通り店,千葉県千葉市中央区中央3-4-11,35.608753,140.121857
津久野イトーヨーカドー店,大阪府堺市西区下田町20-1,34.54179,135.464508
川越西口店,埼玉県川越市脇田本町1-9,35.907391,139.482651
元住吉東口店,神奈川県川崎市中原区木月2-5-5,35.564667,139.654953
千歳船橋店,東京都世田谷区船橋1-1-5,35.647633,139.62381
JR藤枝駅店,静岡県藤枝市駅前1-1-1,34.849796,138.252136
さくら店,栃木県さくら市櫻野505,36.681461,139.977371
新宿文化センター通り店,東京都新宿区新宿5-18-10,35.694756,139.706024
アピタ福井大和田店,福井県福井市大和田2-1230,36.096699,136.250656
大島駅前店,東京都江東区大島5-34-3,35.689342,139.834412
錦糸町楽天地ビル地下店,東京都墨田区江東橋4-27-14,35.696064,139.815231
神保町白山通り店,東京都千代田区神田神保町2-14-4,35.69698,139.757339
ゆめタウン下松店,山口県下松市中央町21-3,34.018559,131.86322
熊本上通り店,熊本県熊本市中央区上通町4-18,32.804031,130.710709
西神中央店,兵庫県神戸市西区糀台5-2-3,34.718746,135.019836
横浜南幸店,神奈川県横浜市西区南幸1-9-7,35.465679,139.619339
岩槻駅前店,埼玉県さいたま市岩槻区本町3-2-5,35.950104,139.693756
有楽町日比谷口店,東京都千代田区有楽町1-3-7,35.673389,139.760818
カラフルタウン岐阜店,岐阜県岐阜市柳津町丸野3-3-6,35.363968,136.728607
