name,address,latitude,longitude
ウイングタウン岡崎店,愛知県岡崎市羽根町小豆坂3,34.923637,137.174545
宮崎大学医学部附属病院店,宮崎県宮崎市清武町木原5200,31.840258,131.399185
イオンモール各務原店,岐阜県各務原市那加萱場町3-8,35.392418,136.823975
武蔵小金井店,東京都小金井市本町5-12-14,35.702076,139.506058
名鉄刈谷店,愛知県刈谷市若松町1-72,34.990288,137.009766
文京グリーンコート店,東京都文京区本駒込2-28-10,35.73064,139.746964
ビッグワンTSUTAYA宇都宮南店,栃木県宇都宮市針ヶ谷町472-7,36.490593,139.856796
西宮名塩サービスエリア下り店,兵庫県西宮市塩瀬町名塩字蛇豆906,34.840046,135.291214
モール長町店,宮城県仙台市太白区長町7-20-15,38.225822,140.876862
楽市街道くるめ店,福岡県久留米市新合川2-7-10,33.319946,130.542267
フジグラン石井店,徳島県名西郡石井町高川原544-1,34.082977,134.441574
阪急塚口店,兵庫県尼崎市塚口町1-2-9,34.753082,135.415955
ダイエー光明池店,大阪府和泉市室堂町841-1,34.470581,135.471069
立場イトーヨーカドー店,神奈川県横浜市泉区中田西1-1,35.414616,139.499939
EneJet沼田店,広島県広島市安佐南区伴東7-57-1,34.461216,132.410522
仙台定禅寺通り店,宮城県仙台市青葉区国分町3-1-11,38.266396,140.869385
イズミヤ千里丘店,大阪府吹田市山田南1-1,34.788815,135.538727
溝の口店,神奈川県川崎市高津区久本3-1-1,35.598061,139.613159
奈良コトモール店,奈良県奈良市東向南町23-1,34.682625,135.828491
旭中央病院店,千葉県旭市イ1326,35.717331,140.662506
石巻中里店,宮城県石巻市南中里2-9-36,38.440838,141.30043
霞が関第2号館店,東京都千代田区霞が関2-1-2,35.676193,139.751129
東京医科大学茨城医療センター店,茨城県稲敷郡阿見町中央3-20-1,36.037308,140.215683
横浜東口店,神奈川県横浜市西区高島2-14-14,35.46376,139.622498
中板橋北口店,東京都板橋区中板橋23-2,35.75581,139.69574
国立がん研究センター東病院店,千葉県柏市柏の葉6-5-1,35.900532,139.940231
あざみ野西口店,神奈川県横浜市青葉区あざみ野1-11-1,35.568481,139.552292
小田原シティーモール店,神奈川県小田原市前川120,35.281898,139.193695
一宮西病院店,愛知県一宮市開明字平1,35.313931,136.777985
新丸子東口店,神奈川県川崎市中原区新丸子東1-772,35.580219,139.661957
富山エスタ店,富山県富山市桜町1-1-1,36.700573,137.213745
浜松町1丁目店,東京都港区浜松町1-29-9,35.65683,139.755798
草加駅西口店,埼玉県草加市氷川町2121-3,35.827908,139.802948
南青山5丁目店,東京都港区南青山5-4-31,35.662231,139.714432
京王仙川店,東京都調布市仙川町1-12-14,35.660683,139.584641
北野病院店,大阪府大阪市北区扇町2-4-20,34.705494,135.506256
都営五反田店,東京都品川区東五反田1-26-2,35.626339,139.723907
備後町1丁目店,大阪府大阪市中央区備後町1-6-15,34.685555,135.506653
沖縄県立南部医療センター店,沖縄県島尻郡南風原町新川118-1,26.205864,127.72374
郡山駅店,福島県郡山市燧田195,37.397964,140.388947
沖縄イオン那覇店,沖縄県那覇市金城5-10-2,26.196909,127.665909
方南町店,東京都杉並区方南2-13-9,35.683601,139.658524
代々木店,東京都渋谷区代々木1-36-7,35.683533,139.701447
西新宿1丁目店,東京都新宿区西新宿1-13-8,35.689587,139.696548
高井戸店,東京都杉並区高井戸西2-1-26,35.683319,139.615463
相鉄さがみ野駅前店,神奈川県海老名市東柏ケ谷3-3-15,35.472313,139.428513
神田淡路町店,東京都千代田区神田須田町1-2-1,35.695206,139.767776
函館中央病院店,北海道函館市本町33-2,41.78643,140.751053
五反田桜田通り店,東京都品川区西五反田1-30-2,35.624878,139.721985
代々木八幡店,東京都渋谷区富ヶ谷1-52-1,35.669075,139.688919
伊勢佐木町店,神奈川県横浜市中区伊勢佐木町2-11-1,35.443672,139.6315
新木場メトロピア店,東京都江東区新木場1-6,35.645264,139.827408
瑞江店,東京都江戸川区東瑞江1-26-14,35.692398,139.897476
成城学園北口店,東京都世田谷区成城6-9-1,35.640453,139.598541
西船橋南口店,千葉県船橋市印内町584-1,35.706207,139.959335
ケーズタウン若里店,長野県長野市若里3-22-1,36.631809,138.19577
産業貿易センター店,神奈川県横浜市中区山下町2,35.44688,139.645905
博多呉服町店,福岡県福岡市博多区上呉服町10-10-101,33.597832,130.409943
川口東口店,埼玉県川口市栄町3-5-17,35.803802,139.718811
千葉労災病院店,千葉県市原市辰巳台東2-16,35.521713,140.157928
竹田綜合病院店,福島県会津若松市山鹿町3-27,37.49115,139.922028
神戸さんちか店,兵庫県神戸市中央区三宮町1-10-1,34.693146,135.193771
大田原若草店,栃木県大田原市若草1-721-1,36.858398,140.033081
シャポー市川店,千葉県市川市市川1-1-1,35.72897,139.907639
シャミネ松江店,島根県松江市朝日町472-2,35.46386,133.06279
ビバモール加須店,埼玉県加須市下高柳1-7,36.112015,139.608459
稲田堤店,神奈川県川崎市多摩区菅2-8-1,35.633766,139.532852
十日市場店,神奈川県横浜市緑区十日市場町800-2,35.526009,139.517807
兵庫駅前店,兵庫県神戸市兵庫区駅南通5-1,34.668053,135.165573
東戸塚店,神奈川県横浜市戸塚区品濃町517-1,35.429157,139.558289
エッソ東青田店,山形県山形市東青田1-1-30,38.226955,140.336929
甲府昭和イトーヨーカドー店,山梨県中巨摩郡昭和町西条13-1,35.635384,138.537491
明大前店,東京都世田谷区松原2-46-2,35.668697,139.650116
下赤塚店,東京都板橋区赤塚2-2-6,35.771168,139.644867
名鉄百貨店店,愛知県名古屋市中村区名駅1-2-1,35.169827,136.884384
新川1丁目店,東京都中央区新川1-4-11,35.677467,139.780518
