name,address,latitude,longitude
プラーレ松戸店,千葉県松戸市松戸1149-1,35.782894,139.902496
錦糸町丸井店,東京都墨田区江東橋3-9-10,35.695351,139.813736
フェアモール福井店,福井県福井市大和田2-1230,36.096699,136.250656
札幌宮ケ丘店,北海道札幌市中央区宮ケ丘1-1-1,43.057507,141.313156
エキュート立川店,東京都立川市柴崎町3-1-1,35.697231,139.413162
神田駅前店,東京都千代田区神田鍛冶町3-2,35.693409,139.771225
北千住マルイ店,東京都足立区千住3-92,35.751083,139.804565
イオンモール木曽川店,愛知県一宮市木曽川町黒田南八ツヶ池25-1,35.349159,136.773605
水戸赤塚店,茨城県水戸市姫子2-751-16,36.37907,140.425064
三鷹武蔵境通り店,東京都三鷹市井口2-1-2,35.688942,139.550461
下関大丸店,山口県下関市竹崎町4-4-10,33.949104,130.92363
吹田山田店,大阪府吹田市山田東2-17-5,34.798515,135.525787
東京ビッグサイト店,東京都江東区有明3-11-1,35.630508,139.792313
みのおキューズモール店,大阪府箕面市西宿1-17-22,34.833054,135.490784
イオンモール各務原店,岐阜県各務原市那加萱場町3-8,35.392418,136.823975
けやきウォーク前橋店,群馬県前橋市文京町2-1-1,36.380619,139.076813
沖縄宜野湾店,沖縄県宜野湾市大謝名216-2,26.270123,127.734489
逗子駅前店,神奈川県逗子市逗子1-4-1,35.297157,139.579468
札幌西町店,北海道札幌市西区西町南4-1-20,43.07803,141.290421
リバーウォーク北九州デコシティ店,福岡県北九州市小倉北区室町1-1-1,33.885876,130.875244
千葉オーロラモールジュンヌ店,千葉県千葉市中央区新町1001,35.610691,140.115372
目黒店,東京都品川区上大崎2-25-2,35.634674,139.714447
阪神御影クラッセ店,兵庫県神戸市東灘区御影中町3-2-1,34.716091,135.254868
フレンテ南大沢店,東京都八王子市南大沢2-1-6,35.615257,139.382294
南池袋店,東京都豊島区南池袋2-16-4,35.727077,139.712341
新千歳空港店,北海道千歳市美々,42.783916,141.695938
下り線店,静岡県富士市岩淵1348-3,35.158443,138.619949
リーフウォーク稲沢店,愛知県稲沢市長野7-1-2,35.261143,136.819443
利晶の杜店,大阪府堺市堺区宿院町西2丁1-41,34.576527,135.470337
佐野プレミアムアウトレット店,栃木県佐野市越名町2058,36.292492,139.604828
